,ticker,name,match_rate,match_count,whole_count,average_volume,average_price
2604,6724.T,セイコーエプソン,0.6,36,60,1585675.0,1840.2333333333333
2605,6727.T,ワコム,0.6833333333333333,41,60,1346370.0,771.2333333333333
2606,6728.T,アルバック,0.65,39,60,305051.6666666667,4837.166666666667
2608,6731.T,ピクセラ,0.7,42,60,4299276.666666667,27.4
2612,6740.T,ジャパンディスプレイ,0.7,42,60,7385761.666666667,48.28333333333333
2620,6752.T,パナソニック,0.7,42,60,7381556.666666667,1398.8083333333334
2621,6753.T,シャープ,0.6666666666666666,40,60,3251490.0,1984.2666666666667
2622,6754.T,アンリツ,0.6,36,60,2031165.0,2424.9
2623,6755.T,富士通ゼネラル,0.65,39,60,273480.0,3020.5333333333333
2625,6758.T,ソニー,0.7166666666666667,43,60,4939583.333333333,11665.666666666666
2626,6762.T,ＴＤＫ,0.6333333333333333,38,60,775026.6666666666,15656.833333333334
2628,6768.T,タムラ製作所,0.6,36,60,394770.0,531.2
2630,6770.T,アルプスアルパイン,0.6333333333333333,38,60,2591748.3333333335,1441.5166666666667
2634,6776.T,天昇電気工業,0.48333333333333334,29,60,364893.3333333333,556.4333333333333
2636,6778.T,アルチザネットワークス,0.5333333333333333,32,60,259030.0,1899.45
2637,6779.T,日本電波工業,0.6,36,60,416635.0,731.3833333333333
2646,6803.T,ティアック,0.5166666666666667,31,60,2056616.6666666667,138.2
2647,6804.T,ホシデン,0.6833333333333333,41,60,318985.0,1098.9833333333333
2649,6807.T,日本航空電子工業,0.6666666666666666,40,60,239910.0,1742.8833333333334
2663,6835.T,アライドテレシスホールディングス,0.55,33,60,2250533.3333333335,121.06666666666666
2667,6839.T,船井電機,0.65,39,60,823666.6666666666,715.3333333333334
2669,6841.T,横河電機,0.5833333333333334,35,60,832618.3333333334,2115.866666666667
2671,6845.T,アズビル,0.7166666666666667,43,60,483201.6666666667,4740.833333333333
2673,6849.T,日本光電工業,0.6666666666666666,40,60,376661.6666666667,3168.1666666666665
2676,6855.T,日本電子材料,0.45,27,60,453533.3333333333,1930.95
2678,6857.T,アドバンテスト,0.65,39,60,1927495.0,9524.5
2681,6861.T,キーエンス,0.6333333333333333,38,60,632241.6666666666,52388.333333333336
2682,6862.T,ミナトホールディングス,0.5333333333333333,32,60,249740.0,445.75
2687,6869.T,シスメックス,0.5666666666666667,34,60,384836.6666666667,11509.333333333334
2689,6871.T,日本マイクロニクス,0.6833333333333333,41,60,429536.6666666667,1746.7666666666667
2697,6890.T,フェローテックホールディングス,0.6666666666666666,40,60,1002921.6666666666,2219.0333333333333
2699,6897.T,ツインバード工業,0.6666666666666666,40,60,485255.0,1425.85
2703,6902.T,デンソー,0.7833333333333333,47,60,1795435.0,7024.516666666666
2706,6907.T,ジオマテック,0.5,30,60,396916.6666666667,949.2666666666667
2714,6920.T,レーザーテック,0.6833333333333333,41,60,2119685.0,15084.333333333334
2715,6923.T,スタンレー電気,0.6166666666666667,37,60,389263.3333333333,3361.6666666666665
2717,6925.T,ウシオ電機,0.6166666666666667,37,60,615013.3333333334,1429.8833333333334
2724,6937.T,古河電池,0.5166666666666667,31,60,388215.0,1669.9833333333333
2731,6951.T,日本電子,0.65,39,60,305591.6666666667,4547.166666666667
2732,6952.T,カシオ計算機,0.5666666666666667,34,60,1013810.0,2043.7666666666667
2733,6954.T,ファナック,0.6166666666666667,37,60,814401.6666666666,27045.333333333332
2734,6955.T,ＦＤＫ,0.5833333333333334,35,60,332640.0,1418.3666666666666
2736,6958.T,日本シイエムケイ,0.6666666666666666,40,60,262560.0,464.01666666666665
2740,6963.T,ローム,0.75,45,60,598473.3333333334,11063.833333333334
2742,6965.T,浜松ホトニクス,0.7333333333333333,44,60,330235.0,6530.333333333333
2743,6966.T,三井ハイテック,0.6666666666666666,40,60,316853.3333333333,4380.0
2744,6967.T,新光電気工業,0.5166666666666667,31,60,940483.3333333334,3149.633333333333
2745,6969.T,松尾電機,0.55,33,60,451205.0,719.6333333333333
2746,6971.T,京セラ,0.5333333333333333,32,60,997346.6666666666,7132.15
2748,6976.T,太陽誘電,0.6166666666666667,37,60,1813781.6666666667,5431.5
2750,6981.T,村田製作所,0.6333333333333333,38,60,2748538.3333333335,9209.733333333334
2751,6982.T,リード,0.6166666666666667,37,60,233770.0,769.3166666666667
2753,6988.T,日東電工,0.75,45,60,632336.6666666666,9457.0
2755,6993.T,大黒屋ホールディングス,0.6333333333333333,38,60,12925483.333333334,36.85
2758,6996.T,ニチコン,0.6666666666666666,40,60,773765.0,1162.9666666666667
2759,6997.T,日本ケミコン,0.6166666666666667,37,60,295256.6666666667,1820.4
2762,7003.T,三井Ｅ＆Ｓホールディングス,0.65,39,60,2268710.0,510.5
2763,7004.T,日立造船,0.7333333333333333,44,60,4592846.666666667,799.2
2764,7011.T,三菱重工業,0.6333333333333333,38,60,1515815.0,3293.25
2765,7012.T,川崎重工業,0.5833333333333334,35,60,1482813.3333333333,2563.5
2766,7013.T,ＩＨＩ,0.6,36,60,1801256.6666666667,2132.9333333333334
2767,7014.T,名村造船所,0.7333333333333333,44,60,1338151.6666666667,203.11666666666667
2788,7048.T,ベルトラ,0.5333333333333333,32,60,613583.3333333334,591.7833333333333
2803,7068.T,フィードフォース,0.6,36,60,211191.66666666666,1118.8
2812,7078.T,ＩＮＣＬＵＳＩＶＥ,0.6166666666666667,37,60,767631.6666666666,1544.1722259521484
2819,7085.T,カーブスホールディングス,0.55,33,60,306218.3333333333,977.3166666666667
2828,7094.T,ＮｅｘＴｏｎｅ,0.6333333333333333,38,60,227361.66666666666,3165.15
